user_message,emotion
i do feel respected where i work though,joy
i feel guilty a little and also mildly worried but not bad enough to actually pursue anything,sadness
i sin against him and am filthy before him and yet i only feel his gentle love beckon me back into his arms and feel his righteousness rush over me,love
ive read from others who have gone through similar circumstances it appears quite common and helps me feel less neurotic,fear
i feel a flare of anger because it still pains me to think of mal being abused like that but i can t help wonder now if he might be right,sadness
i don t know why i should feel humiliated to write about it,sadness
i have a feeling that was because we opted to shoot more photojournalistically and completely prop free which is a personal fave of mine,joy
i feel excluded and worthless my connection to everyone summarily cut off,sadness
i love your style and feel very comfortable with your writings,joy
i found out i was pregnant which is alot but it makes me feel a little less scared knowing that my doctor is watching everything and were taking things day by day,fear
i feel that popular culture especially in the uk and the usa is mired in an unsavoury mix squalor and stupidity,joy
i feel undeservingly lucky to be surrounded by their love and warmth,joy
im also pretty upfront about stating that i feel agitated and to just give me a bit of space to deal,fear
i realize that while i am feeling generous i should definitely get myself some shoes it has been over a year and i do not have any for the fall,joy
i just didn t feel thrilled by the whole experience,joy
i know that god has a huge plan for my life but i cant stop myself from feeling impatient and i know its bad but i sometimes well almost all the time question him about this,anger
i don t like to use the h word recklessly but i would admit to feeling jolly these days and i have a reason alfie is now the fourth most popular name in the uk well england and wales,joy
i feel shy now,fear
i started out feeling amazing,joy
i just feel extremely stressed because everything is happening so fast i cant manage to get my head around it,sadness
i hate this feeling to see you that way youre so talented yet you cover yourself you locked yourself,joy
i feel so tortured by it,fear
i know that feeling awkward and not having friends in a space contributes to this,sadness
i wait to hear if you feel i should find this is acceptable,joy
i just feel its more romantic when these characters do not jump on each other on the first opportunity they get,love
i wasnt feeling well so we had to cancel our plans to join a larger family gathering,joy
im feeling hopeful about a great deal of things which is a good thing,joy
i felt even more frustrated and discouraged when i realized my reputation had been damaged but i also realized i had a choice i could feel resentful for the situation i was in or i could rebuild my good reputation,anger
im feeling generous ill show you when its done,love
i feel like i m being punished gt gt gt gt gt something which you could have avoided by gosh just being honest,sadness
i feel worthless and the precious time i lost is unbearable,sadness
i knew there were a lot of hormonal things going on in my body too but the uncontrollable crying was still from feeling so uncertain about everything,fear
i had been feeling fabulous and full of energy but easter weekend wiped me out and i havent been able to recover,joy
i feel loyal to a href http www,love
i began to feel a lot better about the situation and decided to just keep doing what i was doing,joy
i have a task i hate to do i put the kitchen timer on for fifteen minutes it makes me feel like i wont be tortured for long,anger
i woke up feeling ecstatic for about seconds and then reality hit and it just made me all upset again,joy
i feel that with my superior vegan diet i should not get sick at all,joy
i feel for matters at hand to be resolved these are no tears of self pity,joy
i feel him i touch him with my hands i form him without wanting to i give him to myself i take him away from myself how impatient i am to see him,anger
i want them to feel as thought it is family friendly and will be enjoyed by all ages,joy
i know i dont normally share other peoples give aways unless i feel very passionate about them,joy
i was feeling a bit nostalgic and typed all this up literally without thinking about what i was writing,love
i didn t leave feeling sarcastic and annoyed at having to treat someone as though they re better than me,anger
i am feeling better right now,joy
i suggest you do though it might be hard cause it is a bit slow at times if you don t feel a bit of a tug at your heart or perhaps feel a tear forming in your tear ducts i will declare that you are heartless and thus should be banished from the rest of the world,anger
i feel it my solemn duty to warn you,joy
i saw lil seb i feel in love and thought he be perfect to carry around with me while i explore baltimore,joy
i also feel it is unfortunate that nearly all the readers of going to meet the man will be african americans unlike myself,sadness
i feel idiotic calling again though,sadness
i feel discouraged and realize face palm that i need to look at things with a different perspective to be grateful about anything i can find,sadness
i feel agitated and anxious and just plain weird,fear
i must say that i feel a little depressed because everything i know could be completely meaningless,sadness
i finished the film i feel kind of regretful that i wasnt able to catch this on the big screen,sadness
i know my willpower is stronger than my behaviour over the weekend and i need to focus on the joy and health that all the great food i brought with me gives and how i couldve if i really wanted to indulge indulged in that great stuff i know its not the same but i would feel amazing,joy
i was beginning to feel defeated,sadness
im bored and feeling ignored,sadness
i feel my blog is getting a bit bombarded with beauty posts and i feel im boring you all what dya think,sadness
i feel calm just thinking about it,joy
i have tuned in to some country music the past year but it has only left me feeling empty,sadness
i feel liked because people clicked like,love
i feel more well rested though my sinuses still hurt and my voice isn t quite back to normal,joy
i have posted thus far and keep up with what else is to come please feel free to a title celeen gallery amp gifts facebook page href http http www,joy
i dont give a fuck because i feel like i cannot elicit any positive change or shifts within my current client load,joy
i started having that creepy feeling again like she still hated me,anger
i wear this story as a protection from feeling the vulnerability of merely loving and depending on another human,love
i do love the idea of having slave brothers but not at expense that i feel ignored lonely and frustrated and so depressed,sadness
i don t know why this makes me feel so distraught,fear
i feel disgusted by most people,anger
i really have much of a clue how my ex actually feels or felt about anything really except that he hated it when i didnt screw the lids back on jars in the kitchen,anger
i was feeling all depressed about fabric prices and about how much money this hobby costs,sadness
i do not know if ill ever get used of feeling inadequate in as much that ive always prided myself to be a person who have somehow already established himself in a cut throat industry where second guessing your expertise and decision can ruin global corporations,sadness
